Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,11003.0498046875,11134.9599609375,10921.419921875,11117.1298828125,11117.1298828125,1047000
2023-01-04,11099.150390625,11149.150390625,11035.76953125,11095.3701171875,11095.3701171875,1041800
2023-01-05,11136.76953125,11346.2197265625,11136.76953125,11332.009765625,11332.009765625,1172300
2023-01-06,11327.0302734375,11443.4501953125,11314.349609375,11367.73046875,11367.73046875,1172700
2023-01-09,11411.3701171875,11490.58984375,11408.669921875,11450.150390625,11450.150390625,1103500
2023-01-10,11455.599609375,11526.2802734375,11413.990234375,11506.7900390625,11506.7900390625,1028000
2023-01-11,11498.9697265625,11563.7802734375,11424.25,11439.4404296875,11439.4404296875,1027500
2023-01-12,11470.6103515625,11528.9296875,11425.1103515625,11465.73046875,11465.73046875,983900
2023-01-13,11509.2099609375,11602.2998046875,11489.1904296875,11602.2998046875,11602.2998046875,962100
2023-01-16,11612.3603515625,11886.9501953125,11612.3603515625,11785.76953125,11785.76953125,1436300
2023-01-17,11794.9599609375,11830.580078125,11746.759765625,11800.5498046875,11800.5498046875,1020500
2023-01-18,11813.3798828125,11855.4404296875,11793.3203125,11810.66015625,11810.66015625,961600
2023-01-19,11796.400390625,11913.259765625,11763.8203125,11913.259765625,11913.259765625,1013800
2023-01-20,11942.150390625,11997.5302734375,11931.8798828125,11980.6201171875,11980.6201171875,1096000
2023-01-30,12229.3798828125,12246.009765625,12088.240234375,12097.759765625,12097.759765625,1558800
2023-01-31,12076.1396484375,12115.4501953125,11987.009765625,12001.259765625,12001.259765625,1359700
2023-02-01,12034.8798828125,12158.1904296875,11984.4501953125,12158.1904296875,12158.1904296875,1490400
2023-02-02,12187.5498046875,12208.8798828125,12107.51953125,12131.2001953125,12131.2001953125,1399700
2023-02-03,12086.2802734375,12095.3896484375,11904.2802734375,12054.2998046875,12054.2998046875,1213000
2023-02-06,11957.26953125,11977.240234375,11841.669921875,11912.5595703125,11912.5595703125,1154500
2023-02-07,11936.3603515625,11958.2197265625,11864.7197265625,11926.8798828125,11926.8798828125,1132200
2023-02-08,11939.8603515625,11957.009765625,11843.2900390625,11853.4599609375,11853.4599609375,1076400
2023-02-09,11821.9599609375,12048.26953125,11811.98046875,12048.26953125,12048.26953125,1207500
2023-02-10,12031.7197265625,12062.16015625,11917.740234375,11976.849609375,11976.849609375,1271200
2023-02-13,11964.75,12116.0400390625,11952.599609375,12113.6103515625,12113.6103515625,1453700
2023-02-14,12142.830078125,12143.2900390625,12035.5498046875,12094.9404296875,12094.9404296875,1269000
2023-02-15,12103.7197265625,12132.7998046875,12036.23046875,12064.3798828125,12064.3798828125,1368400
2023-02-16,12064.0400390625,12163.9697265625,11826.7197265625,11907.400390625,11907.400390625,1823700
2023-02-17,11894.8798828125,11927.1103515625,11713.7998046875,11715.76953125,11715.76953125,1323700
2023-02-20,11717.6796875,11956.8896484375,11681.5302734375,11954.1298828125,11954.1298828125,1541100
2023-02-21,11947.650390625,12005.0,11886.240234375,11968.599609375,11968.599609375,1432000
2023-02-22,11892.1396484375,11963.2099609375,11868.7900390625,11900.1201171875,11900.1201171875,1105400
2023-02-23,11895.4599609375,11963.1396484375,11829.8701171875,11884.2998046875,11884.2998046875,1146800
